Dataset,Time,DevEUI,Raw,Port,Vbat,Version,BootCount,T,RH,P,Light,CO2,P[0].delta,P[0].total,P[1].delta,P[1].total,Act[7],Act[6],Act[5],Act[4],Act[3],Act[2],Act[1],Act[0]
Ex_01,2024-11-10T00:03:35Z,0002cc0100000ec0,36545abad7f93f400815b18ad6000000000000000000fe8efe94ff5afffffe8e6d92,2,3.95,,8.0,21.69,54.23,,0.0,,0,0,0,0,,,0.17,-0.82,-1.0,-0.92,-0.82,-0.82
Ex_01,2024-11-10T00:09:31Z,0002cc0100000ec0,36545abc3bf93f400815c08c66000000000000000000f5e4570dfcfdfd2af72c,2,3.95,,8.0,21.75,54.84,,0.0,,0,0,0,0,,,,-0.45,-0.65,-0.62,0.03,-0.37
Ex_01,2024-11-10T00:15:27Z,0002cc0100000ec0,36545abd9ff93f380815cb8bdc000000000000000000fffff75c7c517586fd10fec1,2,3.95,,8.0,21.79,54.63,,0.0,,0,0,0,0,,,-0.84,-0.63,0.35,0.54,-0.46,-1.0
Ex_01,2024-11-10T00:21:23Z,0002cc0100000ec0,36545abf03f93f380815c48afb000000000000000000fffffffffffffffff4e0,2,3.95,,8.0,21.76,54.29,,0.0,,0,0,0,0,,,,-0.3,-1.0,-1.0,-1.0,-1.0
Ex_01,2024-11-10T00:27:19Z,0002cc0100000ec0,36545ac067f93f380815c08a94000000000000000000fffffffff4105eccfeb7,2,3.95,,8.0,21.75,54.13,,0.0,,0,0,0,0,,,,-0.84,0.05,-0.25,-1.0,-1.0
Ex_01,2024-11-10T00:33:15Z,0002cc0100000ec0,36545ac1cbf93f380815c08b69000000000000000000fffffe16ffffffffffe2,2,3.95,,8.0,21.75,54.46,,0.0,,0,0,0,0,,,,-0.99,-1.0,-1.0,-0.76,-1.0
Ex_01,2024-11-10T00:39:11Z,0002cc0100000ec0,36545ac32ff20205000015c48abe000000000000000000ff4fffe46cd76728ff14,2,,2.5.0.0,,21.76,54.2,,0.0,,0,0,0,0,,,,-0.88,0.11,0.15,-0.99,-0.91
Ex_01,2024-11-10T00:45:07Z,0002cc0100000ec0,36545ac493f93f380815c089b7000000000000000000fffffe50ff6fffffffffffff,2,3.95,,8.0,21.75,53.8,,0.0,,0,0,0,0,,,-1.0,-1.0,-1.0,-0.93,-0.79,-1.0
Ex_01,2024-11-10T00:51:03Z,0002cc0100000ec0,36545ac5f7f93f300815b98a040000000000000000006422f721feaeffffffff,2,3.95,,8.0,21.72,53.91,,0.0,,0,0,0,0,,,,-1.0,-1.0,-0.83,-0.45,0.06
Ex_01,2024-11-10T00:57:00Z,0002cc0100000ec0,36545ac75cf93f400815c08b3100000000000000000077b3fec0f7fd6ee4efb875bd,2,3.95,,8.0,21.75,54.37,,0.0,,0,0,0,0,,,0.36,-0.24,0.22,-0.5,-0.84,0.48
Ex_01,2024-11-10T01:02:56Z,0002cc0100000ec0,36545ac8c0d93f300815bc8be7000000000000ec5bf449fef5fe57ffff,2,3.95,,8.0,21.73,54.65,,,,0,0,0,0,,,,-1.0,-0.79,-0.87,-0.27,-0.14
Ex_01,2024-11-10T01:08:52Z,0002cc0100000ec0,36545aca24f93f380815ad8a7d000000000000000000ffffffffff4efe18ffffffff,2,3.95,,8.0,21.68,54.1,,0.0,,0,0,0,0,,,-1.0,-1.0,-0.76,-0.91,-1.0,-1.0
Ex_01,2024-11-10T01:14:48Z,0002cc0100000ec0,36545acb88f93f380815b18abe000000000000000000fffffffffffffe686d68,2,3.95,,8.0,21.69,54.2,,0.0,,0,0,0,0,,,,0.17,-0.8,-1.0,-1.0,-1.0
Ex_01,2024-11-10T01:20:44Z,0002cc0100000ec0,36545accecd93f380815b98b9f000000000000edd5fecdefb9f69affff,2,3.95,,8.0,21.72,54.54,,,,0,0,0,0,,,,-1.0,-0.41,-0.24,-0.85,-0.18
Ex_01,2024-11-10T01:26:40Z,0002cc0100000ec0,36545ace50f93f300815bc89fc0000000000000000007d2df5ba65e3dd6cedaafcb3,2,3.95,,8.0,21.73,53.9,,0.0,,0,0,0,0,,,-0.59,-0.18,-0.04,0.09,-0.36,0.65
